spinning_reserves_ba,stage_id,project,percent_power_req,percent_capacity_req
ISONE,1,ISONE_BIOMASS,0,0
ISONE,1,ISONE_COAL,0,0
ISONE,1,ISONE_GAS_DUAL_FUEL,0,0
ISONE,1,ISONE_GAS_SINGLE_FUEL,0,0
ISONE,1,ISONE_GEOTHERMAL,0,0
ISONE,1,ISONE_HYDRO,0,0
ISONE,1,ISONE_OIL,0,0
ISONE,1,ISONE_OTHER,0,0
ISONE,1,ISONE_PUMPED_STORAGE,0,0
MISO_C,1,MISO_C_BIOMASS,0,0
MISO_C,1,MISO_C_COAL,0,0
MISO_C,1,MISO_C_GAS_DUAL_FUEL,0,0
MISO_C,1,MISO_C_GAS_SINGLE_FUEL,0,0
MISO_C,1,MISO_C_GEOTHERMAL,0,0
MISO_C,1,MISO_C_HYDRO,0,0
MISO_C,1,MISO_C_OIL,0,0
MISO_C,1,MISO_C_OTHER,0,0
MISO_C,1,MISO_C_PUMPED_STORAGE,0,0
MISO_E,1,MISO_E_BIOMASS,0,0
MISO_E,1,MISO_E_COAL,0,0
MISO_E,1,MISO_E_GAS_DUAL_FUEL,0,0
MISO_E,1,MISO_E_GAS_SINGLE_FUEL,0,0
MISO_E,1,MISO_E_GEOTHERMAL,0,0
MISO_E,1,MISO_E_HYDRO,0,0
MISO_E,1,MISO_E_OIL,0,0
MISO_E,1,MISO_E_OTHER,0,0
MISO_E,1,MISO_E_PUMPED_STORAGE,0,0
MISO_S,1,MISO_S_BIOMASS,0,0
MISO_S,1,MISO_S_COAL,0,0
MISO_S,1,MISO_S_GAS_DUAL_FUEL,0,0
MISO_S,1,MISO_S_GAS_SINGLE_FUEL,0,0
MISO_S,1,MISO_S_GEOTHERMAL,0,0
MISO_S,1,MISO_S_HYDRO,0,0
MISO_S,1,MISO_S_OIL,0,0
MISO_S,1,MISO_S_OTHER,0,0
MISO_S,1,MISO_S_PUMPED_STORAGE,0,0
MISO_W,1,MISO_W_BIOMASS,0,0
MISO_W,1,MISO_W_COAL,0,0
MISO_W,1,MISO_W_GAS_DUAL_FUEL,0,0
MISO_W,1,MISO_W_GAS_SINGLE_FUEL,0,0
MISO_W,1,MISO_W_GEOTHERMAL,0,0
MISO_W,1,MISO_W_HYDRO,0,0
MISO_W,1,MISO_W_OIL,0,0
MISO_W,1,MISO_W_OTHER,0,0
MISO_W,1,MISO_W_PUMPED_STORAGE,0,0
NYISO,1,NYISO_BIOMASS,0,0
NYISO,1,NYISO_COAL,0,0
NYISO,1,NYISO_GAS_DUAL_FUEL,0,0
NYISO,1,NYISO_GAS_SINGLE_FUEL,0,0
NYISO,1,NYISO_GEOTHERMAL,0,0
NYISO,1,NYISO_HYDRO,0,0
NYISO,1,NYISO_OIL,0,0
NYISO,1,NYISO_OTHER,0,0
NYISO,1,NYISO_PUMPED_STORAGE,0,0
PJM_E,1,PJM_E_BIOMASS,0,0
PJM_E,1,PJM_E_COAL,0,0
PJM_E,1,PJM_E_GAS_DUAL_FUEL,0,0
PJM_E,1,PJM_E_GAS_SINGLE_FUEL,0,0
PJM_E,1,PJM_E_GEOTHERMAL,0,0
PJM_E,1,PJM_E_HYDRO,0,0
PJM_E,1,PJM_E_OIL,0,0
PJM_E,1,PJM_E_OTHER,0,0
PJM_E,1,PJM_E_PUMPED_STORAGE,0,0
PJM_S,1,PJM_S_BIOMASS,0,0
PJM_S,1,PJM_S_COAL,0,0
PJM_S,1,PJM_S_GAS_DUAL_FUEL,0,0
PJM_S,1,PJM_S_GAS_SINGLE_FUEL,0,0
PJM_S,1,PJM_S_GEOTHERMAL,0,0
PJM_S,1,PJM_S_HYDRO,0,0
PJM_S,1,PJM_S_OIL,0,0
PJM_S,1,PJM_S_OTHER,0,0
PJM_S,1,PJM_S_PUMPED_STORAGE,0,0
PJM_W,1,PJM_W_BIOMASS,0,0
PJM_W,1,PJM_W_COAL,0,0
PJM_W,1,PJM_W_GAS_DUAL_FUEL,0,0
PJM_W,1,PJM_W_GAS_SINGLE_FUEL,0,0
PJM_W,1,PJM_W_GEOTHERMAL,0,0
PJM_W,1,PJM_W_HYDRO,0,0
PJM_W,1,PJM_W_OIL,0,0
PJM_W,1,PJM_W_OTHER,0,0
PJM_W,1,PJM_W_PUMPED_STORAGE,0,0
SERC_C,1,SERC_C_BIOMASS,0,0
SERC_C,1,SERC_C_COAL,0,0
SERC_C,1,SERC_C_GAS_DUAL_FUEL,0,0
SERC_C,1,SERC_C_GAS_SINGLE_FUEL,0,0
SERC_C,1,SERC_C_GEOTHERMAL,0,0
SERC_C,1,SERC_C_HYDRO,0,0
SERC_C,1,SERC_C_OIL,0,0
SERC_C,1,SERC_C_OTHER,0,0
SERC_C,1,SERC_C_PUMPED_STORAGE,0,0
SERC_E,1,SERC_E_BIOMASS,0,0
SERC_E,1,SERC_E_COAL,0,0
SERC_E,1,SERC_E_GAS_DUAL_FUEL,0,0
SERC_E,1,SERC_E_GAS_SINGLE_FUEL,0,0
SERC_E,1,SERC_E_GEOTHERMAL,0,0
SERC_E,1,SERC_E_HYDRO,0,0
SERC_E,1,SERC_E_LBW,0,0
SERC_E,1,SERC_E_OIL,0,0
SERC_E,1,SERC_E_OTHER,0,0
SERC_E,1,SERC_E_PUMPED_STORAGE,0,0
SERC_FL,1,SERC_FL_BIOMASS,0,0
SERC_FL,1,SERC_FL_COAL,0,0
SERC_FL,1,SERC_FL_GAS_DUAL_FUEL,0,0
SERC_FL,1,SERC_FL_GAS_SINGLE_FUEL,0,0
SERC_FL,1,SERC_FL_GEOTHERMAL,0,0
SERC_FL,1,SERC_FL_HYDRO,0,0
SERC_FL,1,SERC_FL_LBW,0,0
SERC_FL,1,SERC_FL_OIL,0,0
SERC_FL,1,SERC_FL_OTHER,0,0
SERC_FL,1,SERC_FL_PUMPED_STORAGE,0,0
SERC_SE,1,SERC_SE_BIOMASS,0,0
SERC_SE,1,SERC_SE_COAL,0,0
SERC_SE,1,SERC_SE_GAS_DUAL_FUEL,0,0
SERC_SE,1,SERC_SE_GAS_SINGLE_FUEL,0,0
SERC_SE,1,SERC_SE_GEOTHERMAL,0,0
SERC_SE,1,SERC_SE_HYDRO,0,0
SERC_SE,1,SERC_SE_LBW,0,0
SERC_SE,1,SERC_SE_OIL,0,0
SERC_SE,1,SERC_SE_OTHER,0,0
SERC_SE,1,SERC_SE_PUMPED_STORAGE,0,0
SPP_N,1,SPP_N_BIOMASS,0,0
SPP_N,1,SPP_N_COAL,0,0
SPP_N,1,SPP_N_GAS_DUAL_FUEL,0,0
SPP_N,1,SPP_N_GAS_SINGLE_FUEL,0,0
SPP_N,1,SPP_N_GEOTHERMAL,0,0
SPP_N,1,SPP_N_HYDRO,0,0
SPP_N,1,SPP_N_OIL,0,0
SPP_N,1,SPP_N_OTHER,0,0
SPP_N,1,SPP_N_PUMPED_STORAGE,0,0
SPP_S,1,SPP_S_BIOMASS,0,0
SPP_S,1,SPP_S_COAL,0,0
SPP_S,1,SPP_S_GAS_DUAL_FUEL,0,0
SPP_S,1,SPP_S_GAS_SINGLE_FUEL,0,0
SPP_S,1,SPP_S_GEOTHERMAL,0,0
SPP_S,1,SPP_S_HYDRO,0,0
SPP_S,1,SPP_S_OIL,0,0
SPP_S,1,SPP_S_OTHER,0,0
SPP_S,1,SPP_S_PUMPED_STORAGE,0,0
