transmission_line,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
HQ_to_IESO,exogenous_monthly,2,
HQ_to_ISONE,exogenous_monthly,2,
HQ_to_MARITIMES,exogenous_monthly,2,
HQ_to_NYISO,exogenous_monthly,2,
IESO_to_HQ,exogenous_monthly,2,
IESO_to_MB_HYDRO,exogenous_monthly,2,
IESO_to_MISO_E,exogenous_monthly,2,
IESO_to_MISO_W,exogenous_monthly,2,
IESO_to_NYISO,exogenous_monthly,2,
IESO_to_PJM_E,exogenous_monthly,2,
ISONE_to_HQ,exogenous_monthly,2,
ISONE_to_MARITIMES,exogenous_monthly,2,
ISONE_to_NYISO,exogenous_monthly,2,
MARITIMES_to_HQ,exogenous_monthly,2,
MARITIMES_to_ISONE,exogenous_monthly,2,
MB_HYDRO_to_IESO,exogenous_monthly,2,
MB_HYDRO_to_MISO_W,exogenous_monthly,2,
MB_HYDRO_to_SASK_POWER,exogenous_monthly,2,
MISO_C_to_MISO_E,exogenous_monthly,2,
MISO_C_to_MISO_S,exogenous_monthly,2,
MISO_C_to_MISO_W,exogenous_monthly,2,
MISO_C_to_PJM_W,exogenous_monthly,2,
MISO_C_to_SERC_C,exogenous_monthly,2,
MISO_C_to_SPP_S,exogenous_monthly,2,
MISO_E_to_IESO,exogenous_monthly,2,
MISO_E_to_MISO_C,exogenous_monthly,2,
MISO_E_to_MISO_W,exogenous_monthly,2,
MISO_E_to_PJM_W,exogenous_monthly,2,
MISO_S_to_ERCOT,exogenous_monthly,2,
MISO_S_to_MISO_C,exogenous_monthly,2,
MISO_S_to_SERC_C,exogenous_monthly,2,
MISO_S_to_SERC_SE,exogenous_monthly,2,
MISO_S_to_SPP_S,exogenous_monthly,2,
MISO_W_to_IESO,exogenous_monthly,2,
MISO_W_to_MB_HYDRO,exogenous_monthly,2,
MISO_W_to_MISO_C,exogenous_monthly,2,
MISO_W_to_MISO_E,exogenous_monthly,2,
MISO_W_to_PJM_W,exogenous_monthly,2,
MISO_W_to_SERC_C,exogenous_monthly,2,
MISO_W_to_SPP_N,exogenous_monthly,2,
MISO_W_to_SPP_S,exogenous_monthly,2,
NYISO_to_HQ,exogenous_monthly,2,
NYISO_to_IESO,exogenous_monthly,2,
NYISO_to_ISONE,exogenous_monthly,2,
NYISO_to_PJM_E,exogenous_monthly,2,
PJM_E_to_IESO,exogenous_monthly,2,
PJM_E_to_NYISO,exogenous_monthly,2,
PJM_E_to_PJM_S,exogenous_monthly,2,
PJM_E_to_PJM_W,exogenous_monthly,2,
PJM_S_to_PJM_E,exogenous_monthly,2,
PJM_S_to_PJM_W,exogenous_monthly,2,
PJM_S_to_SERC_E,exogenous_monthly,2,
PJM_W_to_MISO_C,exogenous_monthly,2,
PJM_W_to_MISO_E,exogenous_monthly,2,
PJM_W_to_MISO_W,exogenous_monthly,2,
PJM_W_to_PJM_E,exogenous_monthly,2,
PJM_W_to_PJM_S,exogenous_monthly,2,
PJM_W_to_SERC_C,exogenous_monthly,2,
PJM_W_to_SERC_E,exogenous_monthly,2,
SASK_POWER_to_MB_HYDRO,exogenous_monthly,2,
SASK_POWER_to_SPP_N,exogenous_monthly,2,
SERC_C_to_MISO_C,exogenous_monthly,2,
SERC_C_to_MISO_S,exogenous_monthly,2,
SERC_C_to_MISO_W,exogenous_monthly,2,
SERC_C_to_PJM_W,exogenous_monthly,2,
SERC_C_to_SERC_E,exogenous_monthly,2,
SERC_C_to_SERC_SE,exogenous_monthly,2,
SERC_C_to_SPP_N,exogenous_monthly,2,
SERC_C_to_SPP_S,exogenous_monthly,2,
SERC_E_to_PJM_S,exogenous_monthly,2,
SERC_E_to_PJM_W,exogenous_monthly,2,
SERC_E_to_SERC_C,exogenous_monthly,2,
SERC_E_to_SERC_SE,exogenous_monthly,2,
SERC_FL_to_SERC_SE,exogenous_monthly,2,
SERC_SE_to_MISO_S,exogenous_monthly,2,
SERC_SE_to_SERC_C,exogenous_monthly,2,
SERC_SE_to_SERC_E,exogenous_monthly,2,
SERC_SE_to_SERC_FL,exogenous_monthly,2,
SPP_N_to_MISO_W,exogenous_monthly,2,
SPP_N_to_SASK_POWER,exogenous_monthly,2,
SPP_N_to_SERC_C,exogenous_monthly,2,
SPP_N_to_SPP_S,exogenous_monthly,2,
SPP_S_to_MISO_C,exogenous_monthly,2,
SPP_S_to_MISO_S,exogenous_monthly,2,
SPP_S_to_MISO_W,exogenous_monthly,2,
SPP_S_to_SERC_C,exogenous_monthly,2,
SPP_S_to_SPP_N,exogenous_monthly,2,
