transmission_line,period,min_mw,max_mw,fixed_cost_per_mw_yr
HQ_to_ISONE,2035,0,2225,
HQ_to_NYISO,2035,0,1000,
IESO_to_MISO_E,2035,0,2348,
IESO_to_MISO_W,2035,0,2424,
IESO_to_NYISO,2035,0,2286,
IESO_to_PJM_E,2035,0,1,
ISONE_to_NYISO,2035,0,1660,
MARITIMES_to_ISONE,2035,0,1127,
MB_HYDRO_to_MISO_W,2035,0,3772,
MISO_C_to_MISO_E,2035,0,4864,
MISO_C_to_MISO_S,2035,0,1797,
MISO_C_to_MISO_W,2035,0,7602,
MISO_C_to_PJM_W,2035,0,6572,
MISO_C_to_SERC_C,2035,0,235,
MISO_C_to_SPP_S,2035,0,3873,
MISO_E_to_MISO_C,2035,0,6344,
MISO_E_to_MISO_W,2035,0,160,
MISO_E_to_PJM_W,2035,0,5603,
MISO_S_to_MISO_C,2035,0,2117,
MISO_S_to_SERC_C,2035,0,2468,
MISO_S_to_SERC_SE,2035,0,3600,
MISO_S_to_SPP_S,2035,0,3033,
MISO_W_to_MISO_C,2035,0,6199,
MISO_W_to_MISO_E,2035,0,160,
MISO_W_to_PJM_W,2035,0,2518,
MISO_W_to_SERC_C,2035,0,150,
MISO_W_to_SPP_N,2035,0,2209,
MISO_W_to_SPP_S,2035,0,2086,
NYISO_to_ISONE,2035,0,1303,
NYISO_to_PJM_E,2035,0,913,
PJM_E_to_NYISO,2035,0,1356,
PJM_E_to_PJM_S,2035,0,5094.015382,
PJM_E_to_PJM_W,2035,0,1443,
PJM_S_to_PJM_E,2035,0,1605,
PJM_S_to_PJM_W,2035,0,5347,
PJM_S_to_SERC_E,2035,0,4665,
PJM_W_to_MISO_C,2035,0,6986,
PJM_W_to_MISO_E,2035,0,4345,
PJM_W_to_MISO_W,2035,0,7791,
PJM_W_to_PJM_E,2035,0,4762.015382,
PJM_W_to_PJM_S,2035,0,7040.984618,
PJM_W_to_SERC_C,2035,0,5444,
PJM_W_to_SERC_E,2035,0,5318,
SASK_POWER_to_SPP_N,2035,0,165,
SERC_C_to_MISO_C,2035,0,8288,
SERC_C_to_MISO_S,2035,0,1457,
SERC_C_to_MISO_W,2035,0,3671,
SERC_C_to_PJM_W,2035,0,6646,
SERC_C_to_SERC_E,2035,0,2419,
SERC_C_to_SERC_SE,2035,0,1095,
SERC_C_to_SPP_N,2035,0,1183,
SERC_C_to_SPP_S,2035,0,5042,
SERC_E_to_PJM_S,2035,0,4596,
SERC_E_to_PJM_W,2035,0,5185,
SERC_E_to_SERC_C,2035,0,3257,
SERC_E_to_SERC_SE,2035,0,1703,
SERC_FL_to_SERC_SE,2035,0,1322,
SERC_SE_to_MISO_S,2035,0,1638,
SERC_SE_to_SERC_C,2035,0,6579,
SERC_SE_to_SERC_E,2035,0,2397,
SERC_SE_to_SERC_FL,2035,0,2958,
SPP_N_to_MISO_W,2035,0,623,
SPP_N_to_SERC_C,2035,0,128,
SPP_N_to_SPP_S,2035,0,1501,
SPP_S_to_MISO_C,2035,0,2481,
SPP_S_to_MISO_S,2035,0,4295,
SPP_S_to_MISO_W,2035,0,3323,
SPP_S_to_SERC_C,2035,0,859,
SPP_S_to_SPP_N,2035,0,1705,
