transmission_line,load_zone_from,load_zone_to
ERCOT_to_MISO_S,ERCOT,MISO_S
ERCOT_to_SPP_S,ERCOT,SPP_S
HQ_to_ISONE,HQ,ISONE
HQ_to_NYISO,HQ,NYISO
IESO_to_MISO_E,IESO,MISO_E
IESO_to_MISO_W,IESO,MISO_W
IESO_to_NYISO,IESO,NYISO
IESO_to_PJM_E,IESO,PJM_E
ISONE_to_NYISO,ISONE,NYISO
MARITIMES_to_ISONE,MARITIMES,ISONE
MB_HYDRO_to_MISO_W,MB_HYDRO,MISO_W
MISO_C_to_MISO_E,MISO_C,MISO_E
MISO_C_to_MISO_S,MISO_C,MISO_S
MISO_C_to_MISO_W,MISO_C,MISO_W
MISO_C_to_PJM_W,MISO_C,PJM_W
MISO_C_to_SERC_C,MISO_C,SERC_C
MISO_C_to_SPP_S,MISO_C,SPP_S
MISO_E_to_MISO_C,MISO_E,MISO_C
MISO_E_to_MISO_W,MISO_E,MISO_W
MISO_E_to_PJM_W,MISO_E,PJM_W
MISO_S_to_MISO_C,MISO_S,MISO_C
MISO_S_to_SERC_C,MISO_S,SERC_C
MISO_S_to_SERC_SE,MISO_S,SERC_SE
MISO_S_to_SPP_S,MISO_S,SPP_S
MISO_W_to_MISO_C,MISO_W,MISO_C
MISO_W_to_MISO_E,MISO_W,MISO_E
MISO_W_to_PJM_W,MISO_W,PJM_W
MISO_W_to_SERC_C,MISO_W,SERC_C
MISO_W_to_SPP_N,MISO_W,SPP_N
MISO_W_to_SPP_S,MISO_W,SPP_S
NYISO_to_ISONE,NYISO,ISONE
NYISO_to_PJM_E,NYISO,PJM_E
PJM_E_to_NYISO,PJM_E,NYISO
PJM_E_to_PJM_S,PJM_E,PJM_S
PJM_E_to_PJM_W,PJM_E,PJM_W
PJM_S_to_PJM_E,PJM_S,PJM_E
PJM_S_to_PJM_W,PJM_S,PJM_W
PJM_S_to_SERC_E,PJM_S,SERC_E
PJM_W_to_MISO_C,PJM_W,MISO_C
PJM_W_to_MISO_E,PJM_W,MISO_E
PJM_W_to_MISO_W,PJM_W,MISO_W
PJM_W_to_PJM_E,PJM_W,PJM_E
PJM_W_to_PJM_S,PJM_W,PJM_S
PJM_W_to_SERC_C,PJM_W,SERC_C
PJM_W_to_SERC_E,PJM_W,SERC_E
SASK_POWER_to_SPP_N,SASK_POWER,SPP_N
SERC_C_to_MISO_C,SERC_C,MISO_C
SERC_C_to_MISO_S,SERC_C,MISO_S
SERC_C_to_MISO_W,SERC_C,MISO_W
SERC_C_to_PJM_W,SERC_C,PJM_W
SERC_C_to_SERC_E,SERC_C,SERC_E
SERC_C_to_SERC_SE,SERC_C,SERC_SE
SERC_C_to_SPP_N,SERC_C,SPP_N
SERC_C_to_SPP_S,SERC_C,SPP_S
SERC_E_to_PJM_S,SERC_E,PJM_S
SERC_E_to_PJM_W,SERC_E,PJM_W
SERC_E_to_SERC_C,SERC_E,SERC_C
SERC_E_to_SERC_SE,SERC_E,SERC_SE
SERC_FL_to_SERC_SE,SERC_FL,SERC_SE
SERC_SE_to_MISO_S,SERC_SE,MISO_S
SERC_SE_to_SERC_C,SERC_SE,SERC_C
SERC_SE_to_SERC_E,SERC_SE,SERC_E
SERC_SE_to_SERC_FL,SERC_SE,SERC_FL
SPP_N_to_MISO_W,SPP_N,MISO_W
SPP_N_to_SERC_C,SPP_N,SERC_C
SPP_N_to_SPP_S,SPP_N,SPP_S
SPP_S_to_MISO_C,SPP_S,MISO_C
SPP_S_to_MISO_S,SPP_S,MISO_S
SPP_S_to_MISO_W,SPP_S,MISO_W
SPP_S_to_SERC_C,SPP_S,SERC_C
SPP_S_to_SPP_N,SPP_S,SPP_N
