transmission_line,capacity_type
HQ_to_ISONE,tx_spec
HQ_to_NYISO,tx_spec
IESO_to_MISO_E,tx_spec
IESO_to_MISO_W,tx_spec
IESO_to_NYISO,tx_spec
IESO_to_PJM_E,tx_spec
ISONE_to_NYISO,tx_spec
MARITIMES_to_ISONE,tx_spec
MB_HYDRO_to_MISO_W,tx_spec
MISO_C_to_MISO_E,tx_spec
MISO_C_to_MISO_S,tx_spec
MISO_C_to_MISO_W,tx_spec
MISO_C_to_PJM_W,tx_spec
MISO_C_to_SERC_C,tx_spec
MISO_C_to_SPP_S,tx_spec
MISO_E_to_MISO_C,tx_spec
MISO_E_to_MISO_W,tx_spec
MISO_E_to_PJM_W,tx_spec
MISO_S_to_MISO_C,tx_spec
MISO_S_to_SERC_C,tx_spec
MISO_S_to_SERC_SE,tx_spec
MISO_S_to_SPP_S,tx_spec
MISO_W_to_MISO_C,tx_spec
MISO_W_to_MISO_E,tx_spec
MISO_W_to_PJM_W,tx_spec
MISO_W_to_SERC_C,tx_spec
MISO_W_to_SPP_N,tx_spec
MISO_W_to_SPP_S,tx_spec
NYISO_to_ISONE,tx_spec
NYISO_to_PJM_E,tx_spec
PJM_E_to_NYISO,tx_spec
PJM_E_to_PJM_S,tx_spec
PJM_E_to_PJM_W,tx_spec
PJM_S_to_PJM_E,tx_spec
PJM_S_to_PJM_W,tx_spec
PJM_S_to_SERC_E,tx_spec
PJM_W_to_MISO_C,tx_spec
PJM_W_to_MISO_E,tx_spec
PJM_W_to_MISO_W,tx_spec
PJM_W_to_PJM_E,tx_spec
PJM_W_to_PJM_S,tx_spec
PJM_W_to_SERC_C,tx_spec
PJM_W_to_SERC_E,tx_spec
SASK_POWER_to_SPP_N,tx_spec
SERC_C_to_MISO_C,tx_spec
SERC_C_to_MISO_S,tx_spec
SERC_C_to_MISO_W,tx_spec
SERC_C_to_PJM_W,tx_spec
SERC_C_to_SERC_E,tx_spec
SERC_C_to_SERC_SE,tx_spec
SERC_C_to_SPP_N,tx_spec
SERC_C_to_SPP_S,tx_spec
SERC_E_to_PJM_S,tx_spec
SERC_E_to_PJM_W,tx_spec
SERC_E_to_SERC_C,tx_spec
SERC_E_to_SERC_SE,tx_spec
SERC_FL_to_SERC_SE,tx_spec
SERC_SE_to_MISO_S,tx_spec
SERC_SE_to_SERC_C,tx_spec
SERC_SE_to_SERC_E,tx_spec
SERC_SE_to_SERC_FL,tx_spec
SPP_N_to_MISO_W,tx_spec
SPP_N_to_SERC_C,tx_spec
SPP_N_to_SPP_S,tx_spec
SPP_S_to_MISO_C,tx_spec
SPP_S_to_MISO_S,tx_spec
SPP_S_to_MISO_W,tx_spec
SPP_S_to_SERC_C,tx_spec
SPP_S_to_SPP_N,tx_spec
