transmission_line,operational_type,tx_simple_loss_factor,reactance_ohms
HQ_to_ISONE,tx_simple,0,
HQ_to_NYISO,tx_simple,0,
IESO_to_MISO_E,tx_simple,0,
IESO_to_MISO_W,tx_simple,0,
IESO_to_NYISO,tx_simple,0,
IESO_to_PJM_E,tx_simple,0,
ISONE_to_NYISO,tx_simple,0,
MARITIMES_to_ISONE,tx_simple,0,
MB_HYDRO_to_MISO_W,tx_simple,0,
MISO_C_to_MISO_E,tx_simple,0,
MISO_C_to_MISO_S,tx_simple,0,
MISO_C_to_MISO_W,tx_simple,0,
MISO_C_to_PJM_W,tx_simple,0,
MISO_C_to_SERC_C,tx_simple,0,
MISO_C_to_SPP_S,tx_simple,0,
MISO_E_to_MISO_C,tx_simple,0,
MISO_E_to_MISO_W,tx_simple,0,
MISO_E_to_PJM_W,tx_simple,0,
MISO_S_to_MISO_C,tx_simple,0,
MISO_S_to_SERC_C,tx_simple,0,
MISO_S_to_SERC_SE,tx_simple,0,
MISO_S_to_SPP_S,tx_simple,0,
MISO_W_to_MISO_C,tx_simple,0,
MISO_W_to_MISO_E,tx_simple,0,
MISO_W_to_PJM_W,tx_simple,0,
MISO_W_to_SERC_C,tx_simple,0,
MISO_W_to_SPP_N,tx_simple,0,
MISO_W_to_SPP_S,tx_simple,0,
NYISO_to_ISONE,tx_simple,0,
NYISO_to_PJM_E,tx_simple,0,
PJM_E_to_NYISO,tx_simple,0,
PJM_E_to_PJM_S,tx_simple,0,
PJM_E_to_PJM_W,tx_simple,0,
PJM_S_to_PJM_E,tx_simple,0,
PJM_S_to_PJM_W,tx_simple,0,
PJM_S_to_SERC_E,tx_simple,0,
PJM_W_to_MISO_C,tx_simple,0,
PJM_W_to_MISO_E,tx_simple,0,
PJM_W_to_MISO_W,tx_simple,0,
PJM_W_to_PJM_E,tx_simple,0,
PJM_W_to_PJM_S,tx_simple,0,
PJM_W_to_SERC_C,tx_simple,0,
PJM_W_to_SERC_E,tx_simple,0,
SASK_POWER_to_SPP_N,tx_simple,0,
SERC_C_to_MISO_C,tx_simple,0,
SERC_C_to_MISO_S,tx_simple,0,
SERC_C_to_MISO_W,tx_simple,0,
SERC_C_to_PJM_W,tx_simple,0,
SERC_C_to_SERC_E,tx_simple,0,
SERC_C_to_SERC_SE,tx_simple,0,
SERC_C_to_SPP_N,tx_simple,0,
SERC_C_to_SPP_S,tx_simple,0,
SERC_E_to_PJM_S,tx_simple,0,
SERC_E_to_PJM_W,tx_simple,0,
SERC_E_to_SERC_C,tx_simple,0,
SERC_E_to_SERC_SE,tx_simple,0,
SERC_FL_to_SERC_SE,tx_simple,0,
SERC_SE_to_MISO_S,tx_simple,0,
SERC_SE_to_SERC_C,tx_simple,0,
SERC_SE_to_SERC_E,tx_simple,0,
SERC_SE_to_SERC_FL,tx_simple,0,
SPP_N_to_MISO_W,tx_simple,0,
SPP_N_to_SERC_C,tx_simple,0,
SPP_N_to_SPP_S,tx_simple,0,
SPP_S_to_MISO_C,tx_simple,0,
SPP_S_to_MISO_S,tx_simple,0,
SPP_S_to_MISO_W,tx_simple,0,
SPP_S_to_SERC_C,tx_simple,0,
SPP_S_to_SPP_N,tx_simple,0,
