transmission_simultaneous_flow_limit,transmission_line,simultaneous_flow_coefficient
MISO_S_Import,ERCOT_to_MISO_S,1
SPP_S_Import,ERCOT_to_SPP_S,1
MB_HYDRO_Import,IESO_to_MB_HYDRO,1
MISO_E_Import,IESO_to_MISO_E,1
MISO_W_Import,IESO_to_MISO_W,1
NYISO_Import,IESO_to_NYISO,1
MARITIMES_Import,ISONE_to_MARITIMES,1
NYISO_Import,ISONE_to_NYISO,1
ISONE_Import,MARITIMES_to_ISONE,1
IESO_Import,MB_HYDRO_to_IESO,1
MISO_W_Import,MB_HYDRO_to_MISO_W,1
SASK_POWER_Import,MB_HYDRO_to_SASK_POWER,1
MISO_E_Import,MISO_C_to_MISO_E,1
MISO_S_Import,MISO_C_to_MISO_S,1
MISO_W_Import,MISO_C_to_MISO_W,1
PJM_W_Import,MISO_C_to_PJM_W,1
SERC_C_Import,MISO_C_to_SERC_C,1
SPP_S_Import,MISO_C_to_SPP_S,1
IESO_Import,MISO_E_to_IESO,1
MISO_C_Import,MISO_E_to_MISO_C,1
PJM_W_Import,MISO_E_to_PJM_W,1
MISO_C_Import,MISO_S_to_MISO_C,1
SERC_C_Import,MISO_S_to_SERC_C,1
SERC_SE_Import,MISO_S_to_SERC_SE,1
SPP_S_Import,MISO_S_to_SPP_S,1
IESO_Import,MISO_W_to_IESO,1
MB_HYDRO_Import,MISO_W_to_MB_HYDRO,1
MISO_C_Import,MISO_W_to_MISO_C,1
PJM_W_Import,MISO_W_to_PJM_W,1
SERC_C_Import,MISO_W_to_SERC_C,1
SPP_N_Import,MISO_W_to_SPP_N,1
SPP_S_Import,MISO_W_to_SPP_S,1
ISONE_Import,NYISO_to_ISONE,1
PJM_E_Import,NYISO_to_PJM_E,1
IESO_Import,PJM_E_to_IESO,1
NYISO_Import,PJM_E_to_NYISO,1
PJM_S_Import,PJM_E_to_PJM_S,1
PJM_W_Import,PJM_E_to_PJM_W,1
PJM_E_Import,PJM_S_to_PJM_E,1
PJM_W_Import,PJM_S_to_PJM_W,1
SERC_E_Import,PJM_S_to_SERC_E,1
MISO_C_Import,PJM_W_to_MISO_C,1
MISO_E_Import,PJM_W_to_MISO_E,1
MISO_W_Import,PJM_W_to_MISO_W,1
PJM_E_Import,PJM_W_to_PJM_E,1
PJM_S_Import,PJM_W_to_PJM_S,1
SERC_C_Import,PJM_W_to_SERC_C,1
SERC_E_Import,PJM_W_to_SERC_E,1
MB_HYDRO_Import,SASK_POWER_to_MB_HYDRO,1
SPP_N_Import,SASK_POWER_to_SPP_N,1
MISO_C_Import,SERC_C_to_MISO_C,1
MISO_S_Import,SERC_C_to_MISO_S,1
MISO_W_Import,SERC_C_to_MISO_W,1
PJM_W_Import,SERC_C_to_PJM_W,1
SERC_E_Import,SERC_C_to_SERC_E,1
SERC_SE_Import,SERC_C_to_SERC_SE,1
SPP_N_Import,SERC_C_to_SPP_N,1
SPP_S_Import,SERC_C_to_SPP_S,1
PJM_S_Import,SERC_E_to_PJM_S,1
PJM_W_Import,SERC_E_to_PJM_W,1
SERC_C_Import,SERC_E_to_SERC_C,1
SERC_SE_Import,SERC_E_to_SERC_SE,1
SERC_SE_Import,SERC_FL_to_SERC_SE,1
MISO_S_Import,SERC_SE_to_MISO_S,1
SERC_C_Import,SERC_SE_to_SERC_C,1
SERC_E_Import,SERC_SE_to_SERC_E,1
SERC_FL_Import,SERC_SE_to_SERC_FL,1
MISO_W_Import,SPP_N_to_MISO_W,1
SASK_POWER_Import,SPP_N_to_SASK_POWER,1
SERC_C_Import,SPP_N_to_SERC_C,1
SPP_S_Import,SPP_N_to_SPP_S,1
ERCOT_Import,SPP_S_to_ERCOT,1
MISO_C_Import,SPP_S_to_MISO_C,1
MISO_S_Import,SPP_S_to_MISO_S,1
MISO_W_Import,SPP_S_to_MISO_W,1
SERC_C_Import,SPP_S_to_SERC_C,1
SPP_N_Import,SPP_S_to_SPP_N,1
